"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ANGO","AngioDynamics, Inc.","Healthcare","Medical Instruments & Supplies","USA",617.69,,16.90,2.49%,659428
2,"AROC","Archrock, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",1560.04,21.55,10.30,2.08%,1169037
3,"ASA","ASA Gold and Precious Metals Limited","Financial","Asset Management","USA",267.55,2.31,13.87,0.95%,333110
4,"BH","Biglari Holdings Inc.","Services","Restaurants","USA",367.38,3.33,117.00,2.40%,43767
5,"CNBKA","Century Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",335.00,17.68,91.53,0.58%,20534
6,"CNCE","Concert Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",230.88,,9.75,5.29%,162760
7,"CXO","Concho Resources Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",18335.25,14.60,91.93,1.92%,2204369
8,"DMLP","Dorchester Minerals, L.P.","Financial","Diversified Investments","USA",690.13,11.92,19.90,1.27%,103564
9,"DX","Dynex Capital, Inc.","Real Estate","REIT-Mortgage","USA",392.10,,17.19,0.88%,189081
10,"EPD","Enterprise Products Partners L.P.","Basic Materials","Independent Oil & Gas","USA",62231.93,13.26,28.70,1.06%,5603492
11,"ET","Energy Transfer LP","Basic Materials","Oil & Gas Equipment & Services","USA",36156.10,11.15,13.68,0.96%,17101884
12,"GE","General Electric Company","Industrial Goods","Diversified Machinery","USA",105982.20,1348.89,12.14,1.42%,111611903
13,"GIFI","Gulf Island Fabrication, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",89.36,,5.91,13.65%,111418
14,"GLDD","Great Lakes Dredge & Dock Corporation","Industrial Goods","Heavy Construction","USA",756.76,15.19,11.91,1.53%,296556
15,"GLPI","Gaming and Leisure Properties, Inc.","Financial","REIT - Diversified","USA",9226.84,29.07,43.49,0.58%,1181600
16,"KINS","Kingstone Companies, Inc.","Financial","Property & Casualty Insurance","USA",86.59,,8.10,1.12%,19535
17,"KMI","Kinder Morgan, Inc.","Basic Materials","Oil & Gas Pipelines","USA",47834.68,23.41,21.28,0.38%,10839678
18,"KRP","Kimbell Royalty Partners, LP","Basic Materials","Oil & Gas Drilling & Exploration","USA",441.81,,17.36,2.06%,75372
19,"LAND","Gladstone Land Corporation","Financial","REIT - Diversified","USA",272.21,,13.24,2.16%,119886
20,"LNG","Cheniere Energy, Inc.","Basic Materials","Oil & Gas Pipelines","USA",15959.73,,62.96,0.53%,1531221
21,"MTEX","Mannatech, Incorporated","Consumer Goods","Personal Products","USA",37.55,,15.71,1.35%,1713
22,"MYL","Mylan N.V.","Healthcare","Drugs - Generic","USA",11011.64,198.76,20.87,3.32%,9487273
23,"OKE","ONEOK, Inc.","Utilities","Gas Utilities","USA",31826.59,25.54,76.91,0.43%,1976990
24,"OXY","Occidental Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",39293.51,32.34,45.05,3.30%,16273369
25,"PATI","Patriot Transportation Holding, Inc.","Services","Trucking","USA",66.58,38.45,20.30,2.01%,19195
26,"POPE","Pope Resources, A Delaware Limited Partnership","Industrial Goods","Lumber, Wood Production","USA",405.48,137.98,93.00,0.68%,5953
27,"RGR","Sturm, Ruger & Company, Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",841.37,23.60,48.55,2.02%,134515
28,"SCPH","scPharmaceuticals Inc.","Healthcare","Biotechnology","USA",116.41,,6.24,10.94%,87501
29,"TAYD","Taylor Devices, Inc.","Industrial Goods","Diversified Machinery","USA",38.78,14.79,11.41,1.12%,1608
30,"TDW","Tidewater Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",779.22,,20.22,3.11%,169894
31,"TPL","Texas Pacific Land Trust","Financial","Real Estate Development","USA",6016.00,19.87,800.00,0.10%,29591
32,"WES","Western Midstream Partners, LP","Basic Materials","Oil & Gas Pipelines","USA",9532.75,15.77,21.56,3.55%,2698606
