,ticker,date
0,T,2019-09-06
1,APD,2019-09-06
2,BHLB,2019-09-09
3,T,2019-09-09
4,VEEV,2019-09-09
5,HE,2019-09-09
6,APD,2019-09-09
7,MSI,2019-09-09
8,AWR,2019-09-10
9,AAN,2019-09-10
10,WTR,2019-09-11
11,AWR,2019-09-11
12,HE,2019-09-11
13,UFI,2019-09-13
14,HE,2019-09-13
15,NWHM,2019-09-13
16,RMD,2019-09-17
17,WMT,2019-09-18
18,HE,2019-09-18
19,ESI,2019-09-19
20,POOL,2019-09-19
21,CWST,2019-09-20
22,POOL,2019-09-20
23,BCH,2019-09-23
24,CASY,2019-09-23
25,IDXX,2019-09-23
26,ESI,2019-09-24
27,PACW,2019-09-24
28,AWR,2019-09-25
29,BRKR,2019-09-25
30,EVER,2019-09-25
31,MSI,2019-09-25
32,IDXX,2019-09-26
33,ESI,2019-09-26
34,PULS,2019-09-30
35,AJG,2019-09-30
36,DEI,2019-09-30
37,RST,2019-09-30
38,CMCSA,2019-09-30
39,MSI,2019-09-30
40,CWST,2019-10-01
41,DKS,2019-10-01
42,VSAT,2019-10-01
43,VSAT,2019-10-02
44,ARCC,2019-10-02
45,AWR,2019-10-02
46,TEX,2019-10-03
47,AWR,2019-10-03
48,KO,2019-10-03
49,CWST,2019-10-03
50,TXRH,2019-10-04
51,AWR,2019-10-04
52,IDXX,2019-10-04
53,AJG,2019-10-04
54,HE,2019-10-04
55,VSAT,2019-10-04
56,CMCSA,2019-10-04
57,FLIR,2019-10-04
58,HES,2019-10-04
59,DEI,2019-10-04
60,GRUB,2019-10-08
61,CPLP,2019-10-08
62,HES,2019-10-09
63,TCO,2019-10-09
64,HE,2019-10-09
65,KO,2019-10-09
66,CMCSA,2019-10-11
67,IDXX,2019-10-11
68,ALK,2019-10-11
69,WSBF,2019-10-11
70,NDAQ,2019-10-11
71,GPC,2019-10-11
72,JBT,2019-10-11
73,INFY,2019-10-14
74,CCI,2019-10-15
75,ALK,2019-10-15
76,MKC,2019-10-16
77,XEL,2019-10-16
78,AJG,2019-10-17
79,AI,2019-10-17
80,BHLB,2019-10-17
81,ALK,2019-10-17
82,HE,2019-10-17
83,AI,2019-10-18
84,CWST,2019-10-18
85,NGG,2019-10-18
86,GWB,2019-10-18
87,WAFD,2019-10-18
88,NGG,2019-10-23
89,GWB,2019-10-23
90,NDAQ,2019-10-23
91,AI,2019-10-23
92,MPC,2019-10-24
93,UBSI,2019-10-24
94,GWB,2019-10-24
95,KRC,2019-10-24
96,MKTX,2019-10-24
97,BRKS,2019-10-24
98,BWA,2019-10-24
99,VRTX,2019-10-25
100,CMCSA,2019-10-25
101,WAFD,2019-10-25
102,WSBF,2019-10-25
103,KRC,2019-10-25
104,CUBI,2019-10-25
105,ALK,2019-10-25
106,BCE,2019-10-25
107,BRKS,2019-10-25
108,MCD,2019-10-28
109,OPB,2019-10-28
110,KRC,2019-10-28
111,BWA,2019-10-28
112,ARW,2019-10-28
113,UBSI,2019-10-28
114,UMBF,2019-10-28
115,CUBI,2019-10-28
116,LADR,2019-10-28
117,MKTX,2019-10-28
118,ARCC,2019-10-28
119,ARI,2019-10-28
120,AGRO,2019-10-28
121,VRTX,2019-10-29
122,CUBI,2019-10-29
123,IIPR,2019-10-29
124,UBSI,2019-10-29
125,KRC,2019-10-29
126,CRON,2019-10-29
127,FELE,2019-10-29
128,CMS,2019-10-30
129,HPP,2019-10-30
130,KRC,2019-10-30
131,HE,2019-10-30
132,IIPR,2019-10-30
133,LNN,2019-10-30
134,WTR,2019-10-30
135,QADA,2019-10-30
136,POOL,2019-10-30
137,DEA,2019-10-30
138,TCO,2019-10-30
139,VRTX,2019-10-30
140,CGC,2019-10-30
141,DEA,2019-10-31
142,FE,2019-10-31
143,KRC,2019-10-31
144,VRTX,2019-10-31
145,ARW,2019-10-31
146,VSAT,2019-10-31
147,BWA,2019-10-31
148,FMC,2019-10-31
149,RDHL,2019-11-01
150,JBT,2019-11-01
151,VRTX,2019-11-01
152,AI,2019-11-01
153,KRC,2019-11-01
154,HPP,2019-11-01
155,FMC,2019-11-01
156,SKY,2019-11-01
157,ARW,2019-11-01
158,FLIR,2019-11-01
159,BWA,2019-11-01
160,PLOW,2019-11-04
161,VSAT,2019-11-04
162,BWA,2019-11-04
163,CCI,2019-11-04
164,ARW,2019-11-04
165,FMC,2019-11-04
166,CUBI,2019-11-04
167,WB,2019-11-04
168,AWR,2019-11-04
169,PLOW,2019-11-05
170,CUBI,2019-11-05
171,RUSHA,2019-11-05
172,FMC,2019-11-05
173,STE,2019-11-05
174,VSAT,2019-11-05
175,ARW,2019-11-05
176,UBSI,2019-11-05
177,BWA,2019-11-05
178,WTR,2019-11-05
179,PLOW,2019-11-06
180,WTR,2019-11-06
181,NDAQ,2019-11-06
182,K,2019-11-06
183,FMC,2019-11-06
184,BLMN,2019-11-06
185,WB,2019-11-07
186,DKS,2019-11-07
187,CNO,2019-11-07
188,PLOW,2019-11-07
189,VSAT,2019-11-07
190,DEA,2019-11-07
191,BWA,2019-11-07
192,CUBI,2019-11-07
193,BLMN,2019-11-07
194,NEE,2019-11-08
195,DEA,2019-11-08
196,WB,2019-11-08
197,TCO,2019-11-08
198,CNO,2019-11-08
199,SKY,2019-11-08
200,CMCSA,2019-11-08
201,BWA,2019-11-08
